message,category,cleaned_message
Your transaction ID is TXN179896. Please keep it for your records.,Transactional,your transaction id is txn179896. please keep it for your records.
Check out our latest deals at https://secure.bankportal.in/login,Promotional,check out our latest deals at https://secure.bankportal.in/login
Click here to win an iPhone: https://winfreecash.com,Spam,click here to win an iphone: https://winfreecash.com
Your transaction ID is TXN418755. Please keep it for your records.,Transactional,your transaction id is txn418755. please keep it for your records.
Check out our latest deals at https://trip.com,Promotional,check out our latest deals at https://trip.com
Your transaction ID is TXN757222. Please keep it for your records.,Transactional,your transaction id is txn757222. please keep it for your records.
Your dream vacation awaits! Book at https://bluedart.com/track,Promotional,your dream vacation awaits! book at https://bluedart.com/track
Your OTP is 207950. Do not share it with anyone.,Transactional,your otp is 207950. do not share it with anyone.
Visit our store: https://flipkart.com/deals for more details,Promotional,visit our store: https://flipkart.com/deals for more details
Get free recharge. Click here: https://urgentupdate.co,Spam,get free recharge. click here: https://urgentupdate.co
Don't miss out! Sale ends soon at https://www.officialstore.com,Promotional,don't miss out! sale ends soon at https://www.officialstore.com
Confirm your payment details: https://urgentupdate.co,Spam,confirm your payment details: https://urgentupdate.co
Your package with tracking ID 950137 has been shipped.,Transactional,your package with tracking id 950137 has been shipped.
Final notice. Update your info: https://urgentupdate.co,Spam,final notice. update your info: https://urgentupdate.co
Your payment of ₹4142 was successful.,Transactional,your payment of ₹4142 was successful.
Your OTP is 214000. Do not share it with anyone.,Transactional,your otp is 214000. do not share it with anyone.
Urgent: Your account will be blocked. Verify at https://confirm-payee.click,Spam,urgent: your account will be blocked. verify at https://confirm-payee.click
Upgrade your plan today: https://merchant-site.com/receipt,Promotional,upgrade your plan today: https://merchant-site.com/receipt
Your package is waiting. Pay delivery fees at https://winfreecash.com,Spam,your package is waiting. pay delivery fees at https://winfreecash.com
Check out our latest deals at https://trip.com,Promotional,check out our latest deals at https://trip.com
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional,don't miss out! sale ends soon at https://secure.bankportal.in/login
Your payment of ₹7432 was successful.,Transactional,your payment of ₹7432 was successful.
Check out our latest deals at https://cleartrip.com,Promotional,check out our latest deals at https://cleartrip.com
You're selected! Redeem your reward at https://secure-update.cards,Spam,you're selected! redeem your reward at https://secure-update.cards
Click here to win an iPhone: https://netflix-support.com,Spam,click here to win an iphone: https://netflix-support.com
Urgent: Your account will be blocked. Verify at https://get-rich-fast.biz,Spam,urgent: your account will be blocked. verify at https://get-rich-fast.biz
You've won a prize! Claim now: https://winfreecash.com,Spam,you've won a prize! claim now: https://winfreecash.com
Your transaction ID is TXN673390. Please keep it for your records.,Transactional,your transaction id is txn673390. please keep it for your records.
Introducing our new range. Learn more: https://amazon.in/sale,Promotional,introducing our new range. learn more: https://amazon.in/sale
Your payment of ₹1545 was successful.,Transactional,your payment of ₹1545 was successful.
You're selected! Redeem your reward at https://login-now-security.xyz,Spam,you're selected! redeem your reward at https://login-now-security.xyz
Enjoy 30% off on all products. Shop now at https://flipkart.com/deals,Promotional,enjoy 30% off on all products. shop now at https://flipkart.com/deals
Urgent: Your account will be blocked. Verify at https://get-rich-fast.biz,Spam,urgent: your account will be blocked. verify at https://get-rich-fast.biz
Your package with tracking ID 783835 has been shipped.,Transactional,your package with tracking id 783835 has been shipped.
Click here to win an iPhone: https://winfreecash.com,Spam,click here to win an iphone: https://winfreecash.com
You've won a prize! Claim now: https://fakewebsite.com,Spam,you've won a prize! claim now: https://fakewebsite.com
Visit our store: https://flipkart.com/deals for more details,Promotional,visit our store: https://flipkart.com/deals for more details
Reset your password now at https://winfreecash.com,Spam,reset your password now at https://winfreecash.com
Click here to win an iPhone: https://confirm-payee.click,Spam,click here to win an iphone: https://confirm-payee.click
Enjoy 30% off on all products. Shop now at https://www.officialstore.com,Promotional,enjoy 30% off on all products. shop now at https://www.officialstore.com
Final notice. Update your info: https://confirm-payee.click,Spam,final notice. update your info: https://confirm-payee.click
Your transaction ID is TXN853212. Please keep it for your records.,Transactional,your transaction id is txn853212. please keep it for your records.
Check out our latest deals at https://www.officialstore.com,Promotional,check out our latest deals at https://www.officialstore.com
Your OTP is 977052. Do not share it with anyone.,Transactional,your otp is 977052. do not share it with anyone.
Reset your password now at https://winfreecash.com,Spam,reset your password now at https://winfreecash.com
Reset your password now at https://netflix-support.com,Spam,reset your password now at https://netflix-support.com
Exclusive deals available here: https://www.myntra.com,Promotional,exclusive deals available here: https://www.myntra.com
Your transaction ID is TXN464735. Please keep it for your records.,Transactional,your transaction id is txn464735. please keep it for your records.
Your payment of ₹2541 was successful.,Transactional,your payment of ₹2541 was successful.
Earn money fast! Start today: https://confirm-payee.click,Spam,earn money fast! start today: https://confirm-payee.click
Your package is waiting. Pay delivery fees at https://netflix-support.com,Spam,your package is waiting. pay delivery fees at https://netflix-support.com
Exclusive deals available here: https://www.myntra.com,Promotional,exclusive deals available here: https://www.myntra.com
Find your perfect gift at https://secure.bankportal.in/login,Promotional,find your perfect gift at https://secure.bankportal.in/login
Your package with tracking ID 980563 has been shipped.,Transactional,your package with tracking id 980563 has been shipped.
Check out our latest deals at https://cleartrip.com,Promotional,check out our latest deals at https://cleartrip.com
Your OTP is 777920. Do not share it with anyone.,Transactional,your otp is 777920. do not share it with anyone.
Introducing our new range. Learn more: https://merchant-site.com/receipt,Promotional,introducing our new range. learn more: https://merchant-site.com/receipt
Your transaction ID is TXN181805. Please keep it for your records.,Transactional,your transaction id is txn181805. please keep it for your records.
Your OTP is 508631. Do not share it with anyone.,Transactional,your otp is 508631. do not share it with anyone.
Your payment of ₹6969 was successful.,Transactional,your payment of ₹6969 was successful.
Enjoy 30% off on all products. Shop now at https://flipkart.com/deals,Promotional,enjoy 30% off on all products. shop now at https://flipkart.com/deals
Your package with tracking ID 776042 has been shipped.,Transactional,your package with tracking id 776042 has been shipped.
Find your perfect gift at https://cleartrip.com,Promotional,find your perfect gift at https://cleartrip.com
You've won a prize! Claim now: https://fakewebsite.com,Spam,you've won a prize! claim now: https://fakewebsite.com
Get free recharge. Click here: https://netflix-support.com,Spam,get free recharge. click here: https://netflix-support.com
Exclusive deals available here: https://flipkart.com/deals,Promotional,exclusive deals available here: https://flipkart.com/deals
Your transaction ID is TXN761134. Please keep it for your records.,Transactional,your transaction id is txn761134. please keep it for your records.
Visit our store: https://www.myntra.com for more details,Promotional,visit our store: https://www.myntra.com for more details
Your payment of ₹4615 was successful.,Transactional,your payment of ₹4615 was successful.
Your payment of ₹6268 was successful.,Transactional,your payment of ₹6268 was successful.
Confirm your payment details: https://confirm-payee.click,Spam,confirm your payment details: https://confirm-payee.click
Urgent: Your account will be blocked. Verify at https://urgentupdate.co,Spam,urgent: your account will be blocked. verify at https://urgentupdate.co
Click here to win an iPhone: https://fakewebsite.com,Spam,click here to win an iphone: https://fakewebsite.com
Upgrade your plan today: https://trip.com,Promotional,upgrade your plan today: https://trip.com
Final notice. Update your info: https://get-rich-fast.biz,Spam,final notice. update your info: https://get-rich-fast.biz
Upgrade your plan today: https://flipkart.com/deals,Promotional,upgrade your plan today: https://flipkart.com/deals
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional,your dream vacation awaits! book at https://merchant-site.com/receipt
